Pair,Horizon,N,N(A),N(B),N(A∩B),P(A),P(B),P(B|A),P(A|B),Lift,Odds Ratio
10y↑ ⇒ USD↑,t,19.0,6.0,7.0,5.0,0.3157894736842105,0.3684210526315789,0.8333333333333334,0.7142857142857143,2.2619047618986228,27.499999999966747
10y↑ ⇒ USD↑,t+1,18.0,6.0,6.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.49999999999850003,0.280000000000208
10y↓ ⇒ USD↓,t,19.0,12.0,12.0,10.0,0.631578947368421,0.631578947368421,0.8333333333333334,0.8333333333333334,1.3194444444423554,12.49999999999125
10y↓ ⇒ USD↓,t+1,18.0,11.0,12.0,6.0,0.6111111111111112,0.6666666666666666,0.5454545454545454,0.5,0.8181818181805909,0.20000000000016
6m↑ ⇒ USD↑,t,19.0,7.0,7.0,4.0,0.3684210526315789,0.3684210526315789,0.5714285714285714,0.5714285714285714,1.5510204081590555,3.999999999998778
6m↑ ⇒ USD↑,t+1,18.0,7.0,6.0,2.0,0.3888888888888889,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.8571428571402858,0.700000000000135
6m↓ ⇒ USD↓,t,19.0,12.0,12.0,9.0,0.631578947368421,0.631578947368421,0.75,0.75,1.18749999999812,3.999999999998778
6m↓ ⇒ USD↓,t+1,18.0,11.0,12.0,7.0,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.5833333333333334,0.9545454545440228,0.700000000000135
Equities↑(≥+1% m/m) ⇒ 10y↑,t,19.0,13.0,6.0,3.0,0.6842105263157895,0.3157894736842105,0.23076923076923078,0.5,0.7307692307669168,0.30000000000007
Equities↑(≥+1% m/m) ⇒ 10y↑,t+1,18.0,12.0,5.0,4.0,0.6666666666666666,0.2777777777777778,0.3333333333333333,0.8,1.19999999999568,2.4999999999983125
Equities↑(≥+1% m/m) ⇒ 6m↑,t,19.0,13.0,7.0,5.0,0.6842105263157895,0.3684210526315789,0.38461538461538464,0.7142857142857143,1.0439560439532105,1.2499999999997813
Equities↑(≥+1% m/m) ⇒ 6m↑,t+1,18.0,12.0,6.0,4.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.9999999999970001,0.999999999999875
Equities↓(≤−1% m/m) ⇒ USD↑,t,19.0,4.0,7.0,2.0,0.21052631578947367,0.3684210526315789,0.5,0.2857142857142857,1.3571428571391737,1.9999999999998
Equities↓(≤−1% m/m) ⇒ USD↑,t+1,18.0,4.0,6.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,3.333333333332361e-13
